name,checked_synonym,accepted_name,author
AZARA INTEGRIFOLIA,Azara integrifolia,Azara integrifolia,Ruiz & Pav.
Series Ponticum Subseries Ponticum,Seris,Richterago,Kuntze
B,,,
"(creeping, HapQloappus-like)",,,
Dodecatheon-like foliage,,,
(Subshrub),,,
(Dormant orchid),Doria,Solidago,L.
Dwarf grass),Waria,Xylopia,L.
"(Composite, fleshy tap roots, but tops moulded)",,,
(small white flrd. p1t.),Tsoala,Tsoala,Bosser & D'Arcy
(Water grass),Ate,Habenaria,Willd.
Compositae (reyless),,,
(Composite Penstemom liko*,Penstemon minor,Penstemon anguineus,Eastw.
(Compositae Grey Leaf),,,
Composite,,,
Fern,Meon,Mutellina,Wolf
(Mallow),,,
(Cichoraea Tribe),Wichuraea,Bomarea,Mirb.
(Encelia-like shrub),,,
"(Shrub, mostly stems)",,,
"wiry stemmed, deciduous",Aira,Aira,L.
"(legume, decid. slender erect $ items)",,,
Umbellifer,,,
Annual ( similar to Dianthus),Anna,Anna,Pellegr.
(Sexifragaseae),,,
(Sedum-like Composite),,,
'Yáhi',,,
(Shrub),,,
(Grass),Grausa,Grausa,Weigend & R.H.Acuña
Succulent sp. File indet !,Bucculina,Holothrix,Rich. ex Lindl.
Unidantified fern?,,,
Umbe litter,Hebe,Veronica,L.
DISCARDED,Discaria,Discaria,Hook.
Aechmea chantini,Aechmea chantinii,Aechmea chantinii,(Carrière) Baker
Portulacaceae sp.,Portulacaria,Portulacaria,Jacq.
Pseudocyphosperma alba H E Moore,Pseudocoptosperma,Pseudocoptosperma,De Block
NOC,Nil,Ipomoea,L.
"""bulb""",Bulga,Ajuga,L.
?,,,
Abelia floribunda Dcne.,Abelia floribunda,Vesalea floribunda,M.Martens & Galeotti
Abronia villosa Wats. var. aurita (Abrams) Jeps.,Abronia villosa var. aurita,Abronia villosa var. aurita,(Abrams) Jeps.
Abrus precatorius,Abrus precatorius,Abrus precatorius,L.
Abutilon hybrid,Abutilon,Abutilon,Mill.
Abutilon avicennae Gaertn.,Abutilon avicennae,Abutilon theophrasti,Medik.
Abutilon giganteum (Jacq.) Sweet audition Peoudobutilon,Abutilon giganteum,Abutilon giganteum,(Jacq.) Sweet
Abutilon leucopetalum F.V.M.,Abutilon leucopetalum,Abutilon leucopetalum,(F.Muell.) Benth.
Abutilon mollissimum (Cav.) Sweet,Abutilon mollissimum,Abutilon mollissimum,(Cav.) Sweet
Abutilon otocarpum F. Muell.,Abutilon otocarpum,Abutilon otocarpum,F.Muell.
"Abutilon peruvianum (Lam.) Kearney det. D. M. Bates, 1966",Abutilon peruvianum,Callianthe peruviana,(Lam.) Dorr
"Abutilon reflexum (Juss. ex Cav ) Sweet det. D. N. Bates, 1966",Abutilon reflexum,Abutilon reflexum,(Lam.) Sweet
Acacia Kennedia nigricans Lindl.,Kennedia nigricans,Kennedia nigricans,Lindl.
Acacia alata R. Br.,Acacia alata,Acacia alata,R.Br.
Acacia aspera Lindl. in Mitch.,Acacia aspera,Acacia aspera,J.Forbes
Acacia ataxacantha D.C.,Acacia ataxacantha,Senegalia ataxacantha,(DC.) Kyal. & Boatwr.
Acacia buxifolia Cunn.,Acacia buxifolia,Acacia buxifolia,A.Cunn.
Acacia continua Benth.,Acacia continua,Acacia continua,Benth.
Acacia cultriformis,Acacia cultriformis,Acacia cultriformis,A.Cunn. ex G.Don
Acacia cyclops A. Cunn. ex G. Don,Acacia cyclops,Acacia cyclops,A.Cunn. ex G.Don
Acacia dawsoni R.T. Baker,Acacia dawsonii,Acacia dawsonii,R.T.Baker
Acacia decora Reichb.,Acacia decora,Acacia decora,Rchb.
Acacia drummondii Benth.,Acacia drummondii,Acacia drummondii,Lindl.
Acacia Edgeworthii T. Anders    (Synonym A. socotrana),Acacia,Acacia,Mill.
Acacia extensa Lingl.,Acacia extensa,Acacia extensa,Lindl.
Acacia giraffae Huchst. ex A. Rich.,Acacia giraffae,Vachellia erioloba,(E.Mey.) P.J.H.Hurter
Acacia graffiana F. Muell,Acacia graffiana,Acacia hemiteles,Benth.
Acacia insolita Pritz.,Acacia insolita,Acacia insolita,E.Pritz.
Acacia jibberdingensis Maid. & Blakely,Acacia jibberdingensis,Acacia jibberdingensis,Maiden & Blakely
Acacia juniperina Willd.,Acacia juniperina,Acacia ulicifolia,(Salisb.) Court
Acacia karroo Hayne,Acacia karroo,Vachellia karroo,(Hayne) Banfi & Galasso
Acacia koahawaiiensis Rock,Acacia,Acacia,Mill.
Acacia linearis Sims.,Acacia linearis,Acacia linifolia,(Vent.) Willd.
Acacia melanoxylon R.Br.,Acacia melanoxylon,Acacia melanoxylon,R.Br.
Acacia nilotica Delile,Acacia nilotica,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.
Acacia oxycedrus Sieb.exDC.,Acacia oxycedrus,Acacia oxycedrus,Sieber ex DC.
Acacia pruinosa,Acacia pruinosa,Acacia pruinosa,A.Cunn. ex Benth.
Acacia pulchella R. Br.,Acacia pulchella,Acacia pulchella,R.Br.
Acacia scirpifolia Meissn.,Acacia scirpifolia,Acacia scirpifolia,Meisn.
Acacia sowdenii Maiden.,Acacia sowdenii,Acacia papyrocarpa,Benth.
Acacia subporosa F. Muell,Acacia subporosa,Acacia subporosa,F.Muell.
Acacia triptera Benth.,Acacia triptera,Acacia triptera,Benth.
Acacia verticillata (L'Her.)Willd.,Acacia verticillata,Acacia verticillata,(L'Hér.) Willd.
Acaena hirsutula Bitter,Acaena hirsutula,Acaena hirsutula,Bitter
Acampe mombasensis Rendle,Acampe mombasensis,Acampe pachyglossa,Rchb.f.
Acampe pachyglossa Rchb. f. ssp.    renchiana (Rchb. f.) Sengh.,Acampe pachyglossa,Acampe pachyglossa,Rchb.f.
Acanthephippium unguiculatum,Acanthophippium unguiculatum,Acanthophippium striatum,Lindl.
Acanthephippium yamamotoi,Acanthophippium yamamotoi,Acanthophippium sylhetense,Lindl.
Acanthocereus (Berg.) Br & R.,Acanthocereus,Acanthocereus,(Engelm.) Britton & Rose
Acanthocereus brasiliensis Brit. & Rose,Acanthocereus brasiliensis,Strophocactus brasiliensis,(Britton & Rose) S.Arias & N.Korotkova
Acanthocereus pentagonus (L.)Br. & R.,Acanthocereus pentagonus,Acanthocereus tetragonus,(L.) Hummelinck
Acanthocereus subinermis Br. & R.,Acanthocereus subinermis,Acanthocereus tetragonus,(L.) Hummelinck
Acantholimon diapensioides Boiss.,Acantholimon diapensioides,Acantholimon diapensioides,Boiss.
